01_01,06:44,14:50,01_01
01_02,06:44,14:51,01_02
01_03,06:44,14:52,01_03
01_04,06:44,14:53,01_04
01_05,06:44,14:54,01_05
01_06,06:43,14:55,01_06
01_07,06:43,14:56,01_07
01_08,06:43,14:58,01_08
01_09,06:42,14:59,01_09
01_10,06:42,15:00,01_10
01_11,06:41,15:02,01_11
01_12,06:40,15:03,01_12
01_13,06:40,15:04,01_13
01_14,06:39,15:06,01_14
01_15,06:38,15:07,01_15
01_16,06:37,15:09,01_16
01_17,06:37,15:10,01_17
01_18,06:36,15:12,01_18
01_19,06:35,15:14,01_19
01_20,06:34,15:15,01_20
01_21,06:33,15:17,01_21
01_22,06:32,15:18,01_22
01_23,06:31,15:20,01_23
01_24,06:29,15:22,01_24
01_25,06:28,15:23,01_25
01_26,06:27,15:25,01_26
01_27,06:26,15:27,01_27
01_28,06:24,15:28,01_28
01_29,06:23,15:30,01_29
01_30,06:22,15:32,01_30
01_31,06:20,15:33,01_31
02_01,06:19,15:35,02_01
02_02,06:17,15:37,02_02
02_03,06:16,15:39,02_03
02_04,06:14,15:40,02_04
02_05,06:13,15:42,02_05
02_06,06:11,15:44,02_06
02_07,06:10,15:46,02_07
02_08,06:08,15:47,02_08
02_09,06:06,15:49,02_09
02_10,06:05,15:51,02_10
02_11,06:03,15:52,02_11
02_12,06:01,15:54,02_12
02_13,05:59,15:56,02_13
02_14,05:58,15:58,02_14
02_15,05:56,15:59,02_15
02_16,05:54,16:01,02_16
02_17,05:52,16:03,02_17
02_18,05:50,16:05,02_18
02_19,05:48,16:06,02_19
02_20,05:46,16:08,02_20
02_21,05:44,16:10,02_21
02_22,05:42,16:11,02_22
02_23,05:40,16:13,02_23
02_24,05:38,16:15,02_24
02_25,05:36,16:17,02_25
02_26,05:34,16:18,02_26
02_27,05:32,16:20,02_27
02_28,05:30,16:22,02_28
02_29,05:28,16:23,02_29
03_01,05:26,16:25,03_01
03_02,05:24,16:27,03_02
03_03,05:22,16:28,03_03
03_04,05:20,16:30,03_04
03_05,05:18,16:32,03_05
03_06,05:16,16:33,03_06
03_07,05:14,16:35,03_07
03_08,05:11,16:37,03_08
03_09,05:09,16:38,03_09
03_10,05:07,16:40,03_10
03_11,05:05,16:41,03_11
03_12,05:03,16:43,03_12
03_13,05:01,16:45,03_13
03_14,04:58,16:46,03_14
03_15,04:56,16:48,03_15
03_16,04:54,16:50,03_16
03_17,04:52,16:51,03_17
03_18,04:50,16:53,03_18
03_19,04:48,16:54,03_19
03_20,04:45,16:56,03_20
03_21,04:43,16:58,03_21
03_22,04:41,16:59,03_22
03_23,04:39,17:01,03_23
03_24,04:37,17:02,03_24
03_25,04:34,17:04,03_25
03_26,04:32,17:05,03_26
03_27,04:30,17:07,03_27
03_28,04:28,17:09,03_28
03_29,04:26,17:10,03_29
03_30,04:24,17:12,03_30
03_31,04:21,17:13,03_31
04_01,04:19,17:15,04_01
04_02,04:17,17:16,04_02
04_03,04:15,17:18,04_03
04_04,04:13,17:20,04_04
04_05,04:11,17:21,04_05
04_06,04:09,17:23,04_06
